Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,,,2019-03-08 09:45:47,2019-03-08 09:46:53,1m - 6.175s,FAILED
,,,,,,
Test Cases/Driver Test Cases/Login/Login,,This is the Happy Path,2019-03-08 09:45:47,2019-03-08 09:46:51,1m - 3.981s,FAILED
"startApplication(""C:\Users\denni\OneDrive\Desktop\SafeBoda\app-driver.apk"", false)",,,2019-03-08 09:45:48,2019-03-08 09:46:34,45.614s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Button_Continue with Google""), 2)",,,2019-03-08 09:46:34,2019-03-08 09:46:39,5.127s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-08 09:46:39,2019-03-08 09:46:42,3.049s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Link-Email Account""), 2)",,,2019-03-08 09:46:42,2019-03-08 09:46:44,1.798s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-08 09:46:44,2019-03-08 09:46:47,3.005s,PASSED
"callTestCase(findTestCase(""Driver Test Cases/Login/Logout""), [:], STOP_ON_FAILURE)",,,2019-03-08 09:46:47,2019-03-08 09:46:51,4.577s,FAILED
